ExecutableID: 6251995937, SubmitTime: 7121522863, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 42,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6251995937, SubmitTime: 7129289033, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 43,Total Latency: 2023.8601726634668,delayed_hit: 0,forward_counter: 14,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, ,  
ExecutableID: 6252019601, SubmitTime: 7386795185, Latency to next edge for ExecutableID 6252019601: 144.5614409045333, , ,Number of cache hits: 43,Total Latency: 2168.421613568,delayed_hit: 0,forward_counter: 15,skipped_counter: 0, cost: 0.0,cost_counter: 41705.027229013336, Forwarded to edge 3, Row Number: 8 
ExecutableID: 6252019601, SubmitTime: 7392288662, Latency to next edge for ExecutableID 6252019601: 144.5614409045333, , ,Number of cache hits: 43,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 1235.5189254826664,cost_counter: 42940.546154496005, Forwarded to edge 3, Row Number: 9 
ExecutableID: 6252019601, SubmitTime: 7393778085, , , Latency to next edge for ExecutableID 6252019601: 0,Number of cache hits: 44,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7395936519, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 45,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7448344531, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 46,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7488646199, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 47,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7545050647, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 48,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7563731307, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 49,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7571291684, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 50,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7580007099, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 51,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251699911, SubmitTime: 7580007120, , , Latency to next edge for ExecutableID 6251699911: 0,Number of cache hits: 52,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7580007351, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 53,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7580759707, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 54,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251699911, SubmitTime: 7580760094, , , Latency to next edge for ExecutableID 6251699911: 0,Number of cache hits: 55,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7580760191, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 56,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7580760817, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 57,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
